year,rank,city,med_park_size_data,med_park_size_points,park_pct_city_data,park_pct_city_points,pct_near_park_data,pct_near_park_points,spend_per_resident_data,spend_per_resident_points,basketball_data,basketball_points,dogpark_data,dogpark_points,playground_data,playground_points,rec_sr_data,rec_sr_points,restroom_data,restroom_points,splashground_data,splashground_points,amenities_points,total_points,total_pct,city_dup,park_benches,lat,lon,state,county
2020,34,Des Moines,11.2,50.0,13.0,32.0,70.0,55.0,94.0,50.0,2.7,33.0,1.3,49.0,2.6,38.0,0.8,52.0,2.1,62.0,7.4,100.0,55.7,243.0,60.7,Des Moines,,41.5868654,-93.6249494,Iowa,Polk County
2020,35,Albuquerque,4.3,19.0,23.0,50.0,87.0,81.0,62.0,30.0,2.4,27.0,2.4,100.0,3.2,52.0,1.3,91.0,1.5,44.0,1.4,51.0,60.8,241.0,60.2,Albuquerque,,35.0841034,-106.650985,New Mexico,Bernalillo County
2020,36,San Jose,3.0,13.0,15.0,40.0,82.0,74.0,108.0,58.0,1.8,15.0,1.3,46.0,3.1,50.0,1.0,65.0,1.1,32.0,2.0,75.0,47.2,232.0,58.0,San Jose,,37.3361663,-121.890591,California,Santa Clara County
2020,37,Austin,8.2,39.0,10.0,25.0,60.0,39.0,147.0,82.0,2.5,28.0,1.3,50.0,1.6,14.0,0.6,35.0,1.2,34.0,2.7,100.0,43.5,229.0,57.1,Austin,,30.2711286,-97.7436995,Texas,Travis County
2020,38,Omaha,6.7,31.0,13.0,33.0,81.0,72.0,79.0,40.0,5.1,77.0,0.4,6.0,4.1,73.0,0.6,40.0,1.2,35.0,1.7,61.0,48.7,225.0,56.2,Omaha,,41.2587459,-95.9383758,Nebraska,Douglas County
2020,39,Anchorage,4.7,21.0,84.0,50.0,75.0,62.0,93.0,49.0,1.7,14.0,3.0,100.0,2.9,46.0,0.3,19.0,1.6,48.0,0.0,0.0,37.8,220.0,55.0,Anchorage,,61.1758781,-149.1107333,Alaska,Anchorage
2020,40,Atlanta,2.9,12.0,6.0,14.0,72.0,58.0,151.0,85.0,2.6,30.0,1.0,34.0,2.8,42.0,1.5,100.0,0.4,10.0,2.2,82.0,49.7,219.0,54.7,Atlanta,,33.7489924,-84.3902644,Georgia,Fulton County
2020,41,Honolulu,6.1,28.0,15.0,39.0,79.0,69.0,77.0,39.0,3.7,52.0,0.5,10.0,1.6,14.0,1.6,100.0,2.1,65.0,0.0,0.0,40.2,215.0,53.8,Honolulu,,21.304547,-157.855676,Hawaii,Honolulu County
2020,42,Las Vegas,1.1,3.0,20.0,50.0,75.0,62.0,84.0,43.0,1.2,5.0,3.8,100.0,3.1,51.0,0.7,46.0,1.2,34.0,5.2,100.0,56.0,214.0,53.5,Las Vegas,,36.1672559,-115.148516,Nevada,Clark County
2020,43,Buffalo,1.1,3.0,8.0,18.0,90.0,85.0,86.0,44.0,6.3,100.0,0.8,23.0,2.3,32.0,0.7,45.0,2.3,72.0,4.2,100.0,62.0,212.0,53.0,Buffalo,,37.7097669,-95.6974822,Kansas,Wilson County
2020,44,Scottsdale,13.5,50.0,27.0,50.0,40.0,9.0,109.0,59.0,1.4,8.0,1.2,43.0,1.5,12.0,0.7,47.0,3.0,92.0,1.6,58.0,43.3,211.0,52.8,Scottsdale,,33.4942189,-111.926018,Arizona,Maricopa County
2020,45,Anaheim,8.3,39.0,15.0,37.0,67.0,50.0,115.0,63.0,1.4,8.0,0.8,26.0,1.6,15.0,0.2,11.0,1.7,50.0,0.6,18.0,21.3,210.0,52.6,Anaheim,,33.8347516,-117.911732,California,Orange County
2020,46,Chesapeake,7.2,34.0,26.0,50.0,43.0,13.0,100.0,53.0,12.0,100.0,2.0,82.0,3.6,62.0,1.0,65.0,1.1,32.0,0.4,12.0,58.8,209.0,52.2,Chesapeake,,36.7183708,-76.2466798,Virginia,Chesapeake
2020,47,Jersey City,0.6,1.0,18.0,47.0,94.0,91.0,32.0,11.0,2.7,32.0,2.1,88.0,1.2,5.0,0.9,62.0,0.5,13.0,3.9,100.0,50.0,200.0,50.0,Jersey City,,40.7215682,-74.047455,New Jersey,Hudson County
2020,48,Norfolk,1.6,6.0,5.0,11.0,75.0,63.0,84.0,43.0,16.2,100.0,5.2,100.0,6.6,100.0,1.9,100.0,0.6,17.0,1.2,43.0,76.7,200.0,49.9,Norfolk,,36.8448348,-76.2863999,Virginia,Norfolk
2020,49,Columbus,7.7,36.0,8.0,20.0,68.0,51.0,94.0,49.0,6.8,100.0,0.7,19.0,2.9,45.0,0.7,44.0,1.0,29.0,0.7,23.0,43.3,199.0,49.8,Columbus,,39.9622601,-83.0007065,Ohio,Franklin County
2020,49,Los Angeles,4.8,22.0,13.0,32.0,62.0,42.0,132.0,73.0,3.5,47.0,0.3,2.0,1.1,4.0,1.1,77.0,1.3,40.0,0.4,12.0,30.3,199.0,49.8,Los Angeles,,34.0536909,-118.242766,California,Los Angeles County
2020,51,Oakland,2.1,8.0,12.0,29.0,89.0,83.0,65.0,31.0,2.6,31.0,3.8,100.0,1.8,18.0,1.2,78.0,1.3,40.0,0.0,0.0,44.5,196.0,48.9,Oakland,,37.8044557,-122.271356,California,Alameda County
2020,52,Orlando,3.4,15.0,6.0,14.0,64.0,45.0,119.0,65.0,5.0,75.0,1.0,35.0,2.0,24.0,1.4,98.0,4.2,100.0,0.0,0.0,55.3,194.0,48.6,Orlando,,28.5421109,-81.3790304,Florida,Orange County
2020,53,Colorado Springs,6.3,29.0,9.0,23.0,74.0,61.0,80.0,41.0,2.8,35.0,1.7,66.0,3.0,47.0,0.3,16.0,1.3,39.0,0.8,29.0,38.7,193.0,48.2,Colorado Springs,,38.8339578,-104.825348,Colorado,El Paso County
2020,54,Dallas,7.7,36.0,9.0,23.0,71.0,56.0,108.0,58.0,2.4,26.0,0.3,1.0,1.7,17.0,0.6,40.0,0.1,1.0,0.8,27.0,18.7,192.0,47.9,Dallas,,32.7762719,-96.7968559,Texas,Dallas County
2020,55,Tulsa,9.8,47.0,7.0,16.0,60.0,39.0,93.0,49.0,1.7,13.0,0.5,10.0,2.4,33.0,0.4,23.0,1.3,37.0,8.3,100.0,36.0,187.0,46.8,Tulsa,,36.1563122,-95.9927516,Oklahoma,Tulsa County
2020,56,Tampa,4.5,20.0,8.0,17.0,63.0,43.0,48.0,21.0,5.9,92.0,3.9,100.0,2.3,32.0,1.8,100.0,2.8,85.0,2.6,97.0,84.3,185.0,46.3,Tampa,,27.9477595,-82.458444,Florida,Hillsborough County
2020,56,Phoenix,14.6,50.0,15.0,38.0,49.0,22.0,89.0,47.0,1.8,16.0,0.7,22.0,1.7,17.0,0.4,23.0,2.4,72.0,0.6,18.0,28.0,185.0,46.3,Phoenix,,33.4484367,-112.074141,Arizona,Maricopa County
2020,58,Baltimore,0.8,2.0,10.0,23.0,87.0,81.0,73.0,37.0,2.6,30.0,0.5,10.0,3.3,54.0,1.5,100.0,0.6,16.0,1.0,35.0,40.8,184.0,46.0,Baltimore,,39.2908816,-76.610759,Maryland,Baltimore
2020,59,"Arlington, Texas",12.6,50.0,8.0,18.0,58.0,36.0,102.0,55.0,1.7,14.0,0.5,11.0,1.5,14.0,0.3,17.0,1.2,36.0,1.3,46.0,23.0,182.0,45.5,"Arlington, Texas",,32.7355816,-97.1071186,Texas,Tarrant County
2020,60,North Las Vegas,7.1,33.0,26.0,50.0,64.0,45.0,52.0,24.0,1.9,18.0,0.8,25.0,1.8,20.0,0.2,7.0,1.0,28.0,1.6,59.0,26.2,178.0,44.5,North Las Vegas,,36.2005843,-115.121584,Nevada,Clark County
2020,60,Riverside,10.5,50.0,7.0,16.0,51.0,26.0,78.0,39.0,3.0,38.0,0.6,16.0,1.5,11.0,1.1,76.0,2.4,72.0,1.9,68.0,46.8,178.0,44.5,Riverside,,33.7219991,-116.0372472,California,Riverside County
2020,62,Lexington,11.1,50.0,2.0,3.0,54.0,29.0,79.0,40.0,3.9,56.0,1.8,74.0,3.1,49.0,0.5,30.0,2.4,73.0,1.2,44.0,54.3,176.0,44.1,Lexington,,38.0464066,-84.4970393,Kentucky,Fayette County
2020,63,Bakersfield,9.1,43.0,6.0,13.0,46.0,18.0,86.0,45.0,2.1,21.0,2.1,84.0,3.0,48.0,0.3,14.0,2.3,69.0,3.4,100.0,56.0,175.0,43.8,Bakersfield,,35.3738712,-119.019463,California,Kern County
2020,64,Miami,2.6,11.0,7.0,15.0,87.0,81.0,48.0,21.0,3.1,40.0,0.9,28.0,1.3,8.0,1.6,100.0,3.8,100.0,0.0,0.0,46.0,174.0,43.5,Miami,,25.7741728,-80.19362,Florida,Miami-Dade County
2020,65,Chandler,8.4,39.0,4.0,7.0,62.0,43.0,76.0,38.0,3.1,41.0,1.4,55.0,3.4,57.0,0.5,31.0,1.8,54.0,1.1,38.0,46.0,173.0,43.3,Chandler,,33.3062031,-111.841185,Arizona,Maricopa County
2020,66,El Paso,2.8,12.0,19.0,50.0,59.0,38.0,56.0,26.0,4.4,65.0,0.7,21.0,4.1,73.0,0.8,53.0,0.6,17.0,1.3,46.0,45.8,172.0,43.0,El Paso,,31.7550511,-106.488234,Texas,El Paso County
2020,66,Greensboro,5.0,23.0,10.0,25.0,63.0,44.0,67.0,33.0,1.5,11.0,1.0,35.0,3.6,62.0,0.8,54.0,2.7,83.0,1.0,36.0,46.8,172.0,43.0,Greensboro,,36.0726355,-79.7919754,North Carolina,Guilford County
2020,68,Reno,5.0,23.0,5.0,12.0,76.0,63.0,52.0,23.0,3.6,50.0,1.2,41.0,2.0,25.0,0.3,17.0,2.1,64.0,2.7,100.0,49.5,171.0,42.6,Reno,,39.5261206,-119.8126581,Nevada,Washoe County
2020,69,Newark,0.9,2.0,6.0,13.0,94.0,91.0,53.0,24.0,2.6,31.0,0.4,3.0,1.0,1.0,0.8,56.0,1.1,32.0,3.5,100.0,37.2,167.0,41.8,Newark,,40.735657,-74.1723667,New Jersey,Essex County
2020,70,Chula Vista,6.9,32.0,8.0,18.0,67.0,50.0,43.0,18.0,2.0,19.0,2.6,100.0,3.5,60.0,0.7,42.0,1.5,45.0,0.7,25.0,48.5,167.0,41.6,Chula Vista,,32.6400541,-117.084195,California,San Diego County
2020,70,Nashville,16.7,50.0,11.0,26.0,43.0,13.0,83.0,42.0,3.8,54.0,1.2,41.0,2.1,28.0,0.8,51.0,0.9,25.0,0.4,13.0,35.3,166.0,41.6,Nashville,,36.1622767,-86.7742984,Tennessee,Middle Tennessee
2020,72,Durham,8.3,39.0,4.0,7.0,51.0,26.0,76.0,38.0,4.2,60.0,1.5,55.0,2.0,25.0,0.7,47.0,3.0,94.0,1.5,53.0,55.7,166.0,41.4,Durham,,35.996653,-78.9018053,North Carolina,Durham County
2020,73,Detroit,2.4,9.0,6.0,13.0,80.0,70.0,80.0,41.0,2.6,31.0,0.9,30.0,2.7,40.0,0.5,32.0,0.5,12.0,1.2,43.0,31.3,164.0,41.1,Detroit,,42.3315509,-83.0466403,Michigan,Wayne County
2020,74,Glendale,4.8,21.0,6.0,12.0,75.0,62.0,43.0,18.0,4.9,73.0,1.2,44.0,3.9,69.0,0.6,41.0,0.7,19.0,1.6,59.0,50.8,164.0,41.0,Glendale,,34.1469416,-118.2478471,California,Glendale
2020,75,San Antonio,10.0,47.0,11.0,28.0,43.0,13.0,89.0,46.0,1.7,13.0,1.0,32.0,1.8,20.0,0.8,51.0,1.5,45.0,0.5,15.0,29.3,163.0,40.8,San Antonio,,29.4246002,-98.4951405,Texas,Bexar County
2020,76,Corpus Christi,3.3,14.0,9.0,20.0,75.0,63.0,58.0,27.0,2.7,32.0,0.6,15.0,4.3,78.0,0.7,47.0,1.4,41.0,0.6,20.0,38.8,163.0,40.7,Corpus Christi,,27.7635302,-97.4033191,Texas,Nueces County
2020,77,Toledo,5.5,25.0,6.0,14.0,81.0,72.0,40.0,16.0,3.2,41.0,0.7,21.0,3.9,69.0,0.4,26.0,0.6,18.0,0.7,24.0,33.2,160.0,40.0,Toledo,,41.6529143,-83.5378173,Ohio,Lucas County
2020,78,Houston,4.7,21.0,12.0,29.0,61.0,40.0,82.0,42.0,2.6,30.0,0.7,18.0,1.9,21.0,0.6,40.0,0.7,19.0,1.1,38.0,27.7,160.0,39.9,Houston,,29.7589382,-95.3676974,Texas,Harris County
2020,79,Jacksonville,5.8,27.0,14.0,37.0,35.0,1.0,66.0,32.0,2.4,26.0,0.5,12.0,3.5,60.0,1.3,90.0,6.0,100.0,2.2,80.0,61.3,158.0,39.6,Jacksonville,,30.3321838,-81.655651,Florida,Duval County
2020,80,Wichita,11.3,50.0,5.0,11.0,54.0,29.0,67.0,33.0,1.0,1.0,1.0,34.0,2.2,28.0,0.4,24.0,2.0,62.0,1.5,55.0,34.0,157.0,39.3,Wichita,,37.6922361,-97.3375448,Kansas,Sedgwick County
2020,81,Louisville,7.5,35.0,8.0,19.0,38.0,6.0,69.0,34.0,2.7,33.0,1.3,46.0,3.3,55.0,0.6,36.0,3.6,100.0,6.0,100.0,61.7,156.0,38.9,Louisville,,38.2542376,-85.759407,Kentucky,Jefferson County
2020,82,Winston-Salem,9.2,43.0,5.0,11.0,37.0,4.0,81.0,41.0,1.2,5.0,1.2,44.0,1.9,22.0,1.4,93.0,2.1,64.0,4.8,100.0,54.7,154.0,38.4,Winston-Salem,,36.0998131,-80.2440518,North Carolina,Forsyth County
2020,83,Garland,9.6,46.0,7.0,17.0,63.0,43.0,57.0,26.0,2.2,23.0,0.0,0.0,1.4,10.0,0.6,41.0,1.2,34.0,0.0,0.0,18.0,150.0,37.5,Garland,,32.912624,-96.6388833,Texas,Dallas County
2020,84,Tucson,5.5,25.0,3.0,5.0,63.0,44.0,53.0,24.0,4.9,73.0,1.4,55.0,2.7,41.0,0.8,55.0,1.8,54.0,0.7,24.0,50.3,148.0,37.1,Tucson,,32.2228765,-110.974847,Arizona,Pima County
2020,85,Santa Ana,6.0,28.0,4.0,8.0,75.0,63.0,53.0,24.0,2.1,22.0,0.0,0.0,1.2,6.0,0.9,63.0,1.6,47.0,0.0,0.0,23.0,146.0,36.5,Santa Ana,,33.7494951,-117.873221,California,Orange County
